,Open,High,Low,Close,LGR
2008-06-02,102.1463543550209,102.16826857872219,100.80953097622199,101.46697998046875,-0.01038
2008-06-03,101.75918922722778,101.99294466458532,100.24704089706114,100.87527465820312,-0.00585
2008-06-04,100.59036826671382,101.65690868991352,100.41505449335718,100.82413482666016,-0.00051
2008-06-05,101.23319573552027,102.9206573599095,101.04326880195903,102.84030151367188,0.0198
2008-06-06,101.94175093432636,102.1243767829559,99.50917329298929,99.560302734375,-0.03241
2008-06-09,99.9767623234168,100.44428436477777,98.91753391761827,99.80143737792969,0.00242
2008-06-10,99.10744835465016,100.15207457588502,98.8736929368976,99.3046875,-0.00499
2008-06-11,99.32659542148546,99.53843660371733,97.83636153475534,97.84367370605469,-0.01482
2008-06-12,98.32583746994655,99.25356947354605,97.53689185559153,98.21625518798828,0.0038
2008-06-13,98.7421556584876,99.7283398311517,98.19427803958504,99.45804595947266,0.01256
2008-06-16,99.01977287368516,100.02786034002528,98.95403021978059,99.51651000976562,0.00059
2008-06-17,100.130156589306,100.16667286033585,98.88829126941049,99.0344009399414,-0.00486
2008-06-18,98.39153752232481,98.99785688399638,97.67564707277326,98.07011413574219,-0.00978
2008-06-19,97.9970815292108,98.79333915252482,97.52225851195134,98.19432067871094,0.00127
2008-06-20,97.52551386805484,97.70905330752454,96.33618188504586,96.60047912597656,-0.01636
2008-06-23,96.97484991988729,97.07763150953399,96.40955677800709,96.50498962402344,-0.00099
2008-06-24,96.21134345822902,97.23182194407367,95.57996755460434,96.31412506103516,-0.00198
2008-06-25,96.70320800638346,97.93658698960307,96.35081561151391,96.76927947998047,0.00471
2008-06-26,95.85895118135574,96.48297834164318,94.03089495388053,94.1410140991211,-0.02754
2008-06-27,94.17769314456856,94.60350570294203,93.267339703461,93.6270751953125,-0.00547
2008-06-30,93.89137379909344,94.64021735902276,93.45822369380485,93.95745086669922,0.00352
2008-07-01,92.88561291464808,94.31722353104057,92.45246263867254,94.25115203857422,0.00312
2008-07-02,94.55212431295625,94.82377016193688,92.46712003632751,92.63597869873047,-0.01729
2008-07-03,93.31875060393166,93.31875060393166,91.76233484877488,92.7314224243164,0.00103
2008-07-07,93.08383236569176,93.48761563982606,90.97679827291734,91.78437042236328,-0.01027
2008-07-08,91.7623529291786,93.52433221401948,91.1823677778547,93.4142074584961,0.0176
2008-07-09,93.60508284945259,93.78127908413367,91.3218525373443,91.61551666259766,-0.01944
2008-07-10,91.35122536473423,92.34968009388072,90.72719255931209,91.98994445800781,0.00408
2008-07-11,91.01351199799278,92.43043628775322,89.92695636391208,90.9180679321289,-0.01172
2008-07-14,91.96055509730975,92.1367513003915,89.86086453989995,90.09579467773438,-0.00909
2008-07-15,89.42037781301423,90.66110006921897,88.1135728738786,88.8257064819336,-0.0142
2008-07-16,89.16342762661475,91.45400108136964,88.90647361755025,91.00616455078125,0.02425
2008-07-17,91.87248675773985,92.69474533218333,91.10161899412546,91.91653442382812,0.00995
2008-07-18,92.62864473799812,92.81218410171826,91.87980659853777,92.4891586303711,0.00621
2008-07-21,92.87826199197066,93.09116832787646,91.9091743671583,92.5405502319336,0.00056
2008-07-22,91.87981986406785,93.82533852062905,91.6595703553335,93.59040832519531,0.01128
2008-07-23,93.89141400429,94.81644853747524,93.64180311154482,94.09697723388672,0.0054
2008-07-24,94.22176535049107,94.27316174961507,91.88715001417069,92.14410400390625,-0.02097
2008-07-25,92.42305661640712,92.8635498502804,91.89446249528903,92.12205505371094,-0.00024
2008-07-28,92.14411688745552,92.54790018458908,90.6097246750505,90.771240234375,-0.01477
2008-07-29,91.02085266955956,92.78282625356438,90.7712361977465,92.70941162109375,0.02113
2008-07-30,93.31876473428845,94.41266349443093,92.70941263587524,94.36126708984375,0.01766
2008-07-31,93.53166687876977,94.39063541303877,92.96636246554796,93.11319732666016,-0.01331
2008-08-01,93.32612860873384,93.44359092782929,92.10742414119359,92.621337890625,-0.0053
2008-08-04,92.53320428236661,92.6066189060302,91.59348365664844,91.76233673095703,-0.00932
2008-08-05,92.51851136913902,94.38327180272667,91.74764947412875,94.23644256591797,0.02661
2008-08-06,93.9868325132556,94.92655307935487,93.59038684921191,94.6549072265625,0.00443
2008-08-07,93.94282420289196,94.29522238435368,92.9003215512188,93.24537658691406,-0.015
2008-08-08,92.92963418385838,95.38905446523286,92.78279936030003,94.9779281616211,0.01841
2008-08-11,95.05140185981186,96.54907869462541,94.87519997239231,95.96176147460938,0.01031
2008-08-12,95.64603315656711,95.95437794601321,94.50808685114569,94.96327209472656,-0.01046
2008-08-13,94.55212932646343,95.18350515665033,93.72987659965376,94.390625,-0.00605
2008-08-14,93.8546872407869,95.6460332402006,93.78861575778079,95.10275268554688,0.00752
2008-08-15,95.38909050355876,95.80756570791955,94.92657883843285,95.56529235839844,0.00485
2008-08-18,95.75615255329868,95.79286266693146,93.7225444458179,94.25847625732422,-0.01377
2008-08-19,93.54636274480123,93.74458843917604,92.89296291005695,93.23067474365234,-0.01096
2008-08-20,93.52432663728457,93.93545305880068,92.75345899576449,93.663818359375,0.00464
2008-08-21,93.05448014393407,94.29520833823024,92.94435537855767,93.82534790039062,0.00172
2008-08-22,94.46403865540213,95.18350982666016,93.82532525251466,95.18350982666016,0.01437
2008-08-25,94.55947516233596,95.18350222961666,93.05445025501892,93.25267028808594,-0.02049
2008-08-26,93.25266700668078,93.87670525435551,92.92964157152434,93.52430725097656,0.00291
2008-08-27,93.64180842348945,94.58152929848292,93.45826901505546,94.43470001220703,0.00969
2008-08-28,94.91187769171913,95.69008282464556,94.78707226496245,95.57996368408203,0.01205
2008-08-29,95.24224912304327,95.54325638592789,94.34657607887961,94.55213928222656,-0.01081
2008-09-02,95.4625028977947,95.96173584429826,93.61976592592048,93.9648208618164,-0.00623
2008-09-03,93.88407897949219,94.33925874237768,93.18663144715998,93.88407897949219,-0.00086
2008-09-04,93.21598104979738,93.40686357299778,91.00616535007948,91.05755615234375,-0.03057
2008-09-05,90.51428369668304,91.73298229936587,89.56721979880032,91.34387969970703,0.00314
2008-09-08,94.00153688517068,94.14837737128907,91.34388988130058,93.23067474365234,0.02045
2008-09-09,93.31141192014704,93.5022944278196,90.15453820710303,90.46288299560547,-0.03014
2008-09-10,90.9547538307678,91.69625432412455,89.9709856683058,90.82994842529297,0.00405
2008-09-11,89.65531067256764,92.31295708237094,89.27354565823748,92.14410400390625,0.01436
2008-09-12,91.24842812191572,92.65800905057213,90.91071637449866,92.56990814208984,0.00461
2008-09-15,89.29560451505915,92.24692178685521,88.01817160698724,88.16500091552734,-0.04875
2008-09-16,86.04327428521857,89.80216346727019,85.89644499578259,89.6406478881836,0.0166
2008-09-17,87.8346037740406,89.45709119393308,85.1622708940792,85.610107421875,-0.04601
2008-09-18,86.66732575075567,89.41307420299697,83.54715527283354,88.15032196044922,0.02924
2008-09-19,93.5561708037465,94.51610222036152,91.06774265547921,91.65108489990234,0.03895
2008-09-22,91.8947386276387,92.11626295632345,88.87465703924967,89.57614135742188,-0.0229
2008-09-23,89.23647959295462,90.10041438025411,87.33877393952683,87.53814697265625,-0.02301
2008-09-24,88.12888573159842,88.60885147044984,86.97697246523427,87.81875610351562,0.0032
2008-09-25,88.16579160152892,90.0191946369914,87.45692160037629,89.19217681884766,0.01552
2008-09-26,87.74491612411849,89.71646170836193,87.50862607994247,89.23649597167969,0.0005
2008-09-29,87.97382280559499,88.12150197444218,81.94103805724053,82.24378204345703,-0.0816
2008-09-30,83.81658839250606,86.24594833751576,81.61613283726238,85.64783477783203,0.04056
2008-10-01,85.11615892400026,86.16470097938658,84.14146206379134,85.69950103759766,0.0006
2008-10-02,84.8798651622113,84.99801296234929,82.00746296612327,82.59080505371094,-0.03695
2008-10-03,83.33663458075858,85.24910646813244,80.98849952878315,81.47584533691406,-0.01359
2008-10-06,79.12031816332075,79.4673703853424,74.3132865914355,77.32598876953125,-0.05228
2008-10-07,78.89140405464838,79.25322755404224,73.58226136176272,73.86285400390625,-0.04582
2008-10-08,72.00945520984409,75.45043487079072,71.48518686455802,72.0020751953125,-0.02552
2008-10-09,73.58962546546272,74.29849532777027,66.6412146719907,66.97349548339844,-0.0724
